# PROVENANCE — Kingfisher roster, pipe-delimited. One airframe per line.
# Columns: reg|type|msn|kf_from|kf_to|later_ids|state|place|note|id_conf|st_conf|src1|src2
#
# state:    active | stored | withdrawn | scrapped | written_off | preserved | unknown
# id_conf:  verified (2+ independent sources) | partial (1) | sketchy
# st_conf:  same scale, judged on CURRENT status evidence only
# kf_from/kf_to: Kingfisher operator era. Blank = not yet established. DO NOT GUESS.
# later_ids: post-Kingfisher registrations in order, separated by >
# Empty field = unknown. Empty is a valid, honest answer everywhere in this file.
#
# ALL rows carry status as_of 2026-08-25 (set by the converter, not per-row).
# Sources are from the citation-recovery pass and have NOT been individually
# re-opened by hand. Spot-check protocol is in antigravity-prompts-phase0b.md.

reg|type|msn|kf_from|kf_to|later_ids|state|place|note|id_conf|st_conf|src1|src2
VT-KFL|A320-232|2817|2006-07|2012|M-ABFP > OY-KAW|unknown||SAS history established; Danish registration cancelled 2025, current status unresolved|verified|sketchy|https://www.oy-reg.dk/register/6152.html|https://www.jetphotos.com/info/A32X-2817
VT-KFM|A320-232|2856|2006-08|2012|M-ABFN > OY-KAY|active||SAS; M-ABFN from Apr 2013, OY-KAY from Nov 2013|verified|partial|https://www.airfleets.net/ficheapp/plane-a320-2856.htm|https://oy-reg.dk/register/?p=20&sort=type
VT-KFN|A321-232|2916||2012|OE-ICI > TC-JMM > P4-AAJ > TC-GPE|unknown||BBN Airlines, photographed 2024|verified|sketchy||
VT-KFP|A321-231|2919||2012|OE-ICJ > TC-JMN > P4-AAI > N919NX|stored||converted to freighter, stored after conversion|verified|partial||
VT-KFQ|A321-232|2927||2012|N927AG > VQ-BRO > HL8073|active||Air Seoul; flight recorded 8 Aug 2026|verified|partial||
VT-KFR|A321-232|2933||2012|HL8072|unknown||Air Seoul reported; chain incomplete|verified|sketchy||
VT-KFS|A321-232|3034||2012||unknown|||verified|sketchy|https://www.aitd.net.in/NTDPC/Working%20Group%20Reports/Railways/Study%20on%20Fiscal%20Issues%20and%20Allocative%20Efficiency_Submitted%20to%20the%20Govt%20on.pdf|
VT-KFT|A320|3089||2012||unknown|||verified|sketchy|https://repository.uph.edu/id/eprint/65620/15/ToC.pdf|https://www.aitd.net.in/NTDPC/Working%20Group%20Reports/Railways/Study%20on%20Fiscal%20Issues%20and%20Allocative%20Efficiency_Submitted%20to%20the%20Govt%20on.pdf
VT-KFV|A320|3105||2012||unknown|||verified|sketchy|https://repository.uph.edu/id/eprint/65620/15/ToC.pdf|
VT-KFW|A321-232|3120||2012||unknown|||verified|sketchy|https://repository.uph.edu/id/eprint/65620/15/ToC.pdf|
VT-KFX|A320-232|3270||2012||unknown||Shaheen Air then LaudaMotion OE-IHD reported; needs corroboration|verified|sketchy|https://repository.uph.edu/id/eprint/65620/15/ToC.pdf|
VT-KFY|A321|3302||2012|SX-DGP|unknown||Aegean chain reported|partial|sketchy||
VT-KFZ|A321-231|3322||2012||unknown|||partial|sketchy||

# ── ATR 72 block (19) ───────────────────────────────────────────────────────
# Onward operators below come from a single compiled source. Identity pairings are
# strong; the onward chains need a second source before promotion to verified.
VT-KAA|ATR 72-212A|699|2006-03|2012-03|VT-APA|unknown||repossessed by lessor Mar 2012, then offered to Air Pegasus|verified|sketchy||
VT-KAB|ATR 72-212A|728|2006|2012||scrapped||broken up 2022|verified|partial||
VT-KAC|ATR 72-212A|729||2012||unknown||CONFLICT: sources disagree on whether written off after the 2009 Mumbai accident — see notes|verified|sketchy|https://asn.flightsafety.org/reports/2009/20091110_AT75_VT-KAC.pdf|https://skybrary.aero/index.php/accidents-and-incidents/at72-mumbai-india-2009
VT-KAD|ATR 72-212A|730||2012||unknown||named in lessor custody dispute|verified|sketchy||
VT-KAE|ATR 72-212A|737||2012||scrapped|Chennai, India||verified|sketchy||
VT-KAF|ATR 72-212A|738||2012||unknown|||verified|sketchy||
VT-KAG|ATR 72-212A|743||2012||unknown|||verified|sketchy||
VT-KAH|ATR 72-212A|746||2012|PK-PAW|unknown||Pelita Air|verified|sketchy||
VT-KAI|ATR 72-212A|750|2007-06|2012||unknown|||verified|sketchy||
VT-KAJ|ATR 72-212A|754||2012|HS-DRD|unknown||Nok Air|verified|sketchy||
VT-KAK|ATR 72-212A|758||2012|VT-JDD|unknown||JetKonnect|verified|sketchy||
VT-KAL|ATR 72-212A|759||2012|F-ONCL|unknown||Air Caledonie|verified|sketchy||
VT-KAM|ATR 72-212A|762||2012|VT-APB|unknown||Air Pegasus|verified|sketchy||
VT-KAN|ATR 72-212A|767||2012|VT-CMA|unknown||Air Carnival|verified|sketchy||
VT-KAO|ATR 72-212A|772||2012|VT-JDC|unknown||JetKonnect|verified|sketchy||
VT-KAP|ATR 72-212A|776||2012|9N-ALN|unknown||Yeti Airlines|verified|sketchy||
VT-KAQ|ATR 72-212A|777||2012|HS-KAD|unknown||Kan Air|verified|sketchy||
VT-KAR|ATR 72-212A|782||2012|OY-CRV|unknown||Mistral Air|verified|sketchy||
VT-KAS|ATR 72-212A|786||2012|A2-ABR|unknown||Air Botswana|verified|sketchy||

# ── Air Deccan inheritance — the GECAS four ─────────────────────────────────
# All four originated with Air Deccan and were repossessed in 2008-09, four years
# before the Kingfisher collapse. Court judgment is the primary source.
VT-DKW|A320-232|2029|2008|2009||unknown||GECAS four; last returned, engines at Pratt & Whitney Christchurch|verified|sketchy|https://www.courtkutchehry.com/judgements/507588/deccan-aviation-limited-since-renamed-kingfisher-airlines-l/|https://sooperkanoon.com/case/370471/deccan-aviation-limited-since-renamed-kingfisher-airlines-vs-commercial-services
VT-DKX|A320-232|2077|2008|2008-11||unknown||GECAS four; returned 12 Nov 2008|verified|sketchy|https://www.courtkutchehry.com/judgements/507588/deccan-aviation-limited-since-renamed-kingfisher-airlines-l/|https://sooperkanoon.com/case/370471/deccan-aviation-limited-since-renamed-kingfisher-airlines-vs-commercial-services
VT-DNW|A320-232|3219|2008|2008-11|SU-BQC|active||GECAS four; returned 11 Nov 2008; Nile Air|verified|partial|https://www.courtkutchehry.com/judgements/507588/deccan-aviation-limited-since-renamed-kingfisher-airlines-l/|https://sooperkanoon.com/case/370471/deccan-aviation-limited-since-renamed-kingfisher-airlines-vs-commercial-services
VT-DNX|A320-232|3183|2008|2008-11|N621SA > SU-BQB > 4R-EXR|active||GECAS four; returned by 26 Nov 2008; FitsAir, photographed 2026|verified|partial|https://www.courtkutchehry.com/judgements/507588/deccan-aviation-limited-since-renamed-kingfisher-airlines-l/|https://sooperkanoon.com/case/370471/deccan-aviation-limited-since-renamed-kingfisher-airlines-vs-commercial-services

# ── Air Deccan inheritance — remainder ──────────────────────────────────────
VT-DKA|ATR 72-212A|718|2008-08|2012|M-ABFI|scrapped|Chennai, India|Air Deccan Sep 2005, Simplifly Deccan Oct 2007, Kingfisher Aug 2008, stored Chennai 2012, broken up 2023|verified|verified|https://www.planespotters.net/airframe/atr-72-m-abfi-investec/rox780|https://www.jetphotos.com/photo/6572201
VT-DKB|ATR 72-212A|720|2008|2012||unknown||wore Air Deccan, Simplifly Deccan and Kingfisher liveries|verified|sketchy|https://www.planespotters.net/photo/165063/vt-dkb-kingfisher-airlines-atr-72-500-72-212a|https://www.jetphotos.com/photo/7076840
VT-DKR|A320-232|2731|2008|2012||unknown||photographed Bengaluru Nov 2010 with engines removed awaiting maintenance|verified|sketchy|https://www.jetphotos.com/photo/10721526|https://www.jetphotos.com/photo/7149661
VT-DKU|A320|2676|2008|2012||unknown|||partial|sketchy||
VT-DKV|A320|2645|2008|2012||unknown|||partial|sketchy||
VT-DKH|ATR 72|739|2008|2012||unknown|||partial|sketchy||
VT-DKI|ATR 72|732|2008|2012||unknown|||partial|sketchy||
VT-DKJ|ATR 72|733|2008|2012||unknown|||partial|sketchy||
VT-DNZ|A320|3012|2008|2012||unknown|||partial|sketchy|https://repository.uph.edu/id/eprint/65620/15/ToC.pdf|
VT-ADJ|ATR 42|612|2008|2012||unknown|||partial|sketchy||
VT-ADK|ATR 42|613|2008|2012||unknown|||partial|sketchy||
VT-ADR|A320|2922|2008|2012||unknown|||partial|sketchy|https://repository.uph.edu/id/eprint/65620/15/ToC.pdf|
VT-ADU|A320|2874|2008|2012||unknown|||partial|sketchy||
VT-ADV|A320|2366|2008|2012||unknown|||partial|sketchy||
VT-ADW|A320|2376|2008|2012||unknown|||partial|sketchy||
